name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin C,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin B6,Vitamin D
AH Grillworst,E,287.0,25.0,9.1,16.0,1.6,0.7,0.0,14.0,2.35,,,,,,,,,
AH Scharrel gebraden kipfilet,C,109.0,2.3,0.8,1.5,1.8,0.9,0.5,20.0,1.8,,,,,,,,,
AH Goudse belegen 48+ geraspt,D,383.0,31.0,21.0,8.5,2.0,0.0,0.0,24.0,2.18,,,,,,,,,
AH Roasted ham,D,168.0,8.0,3.5,4.5,1.0,1.0,0.0,23.0,2.0,,,,,,,,,
AH Filet americain,D,250.0,21.0,5.0,16.0,2.0,1.5,0.2,13.0,2.0,,,,,,,,,
AH Gerookte kipfilet,D,158.0,9.0,2.5,6.5,2.3,0.6,0.0,17.0,2.0,,,,,,,,,
AH Goudse oud 48+ plakken,E,436.0,36.0,24.0,11.0,0.0,0.0,0.0,28.0,2.5,,,,,,,,,
De Zaanse Hoeve Jong belegen 48+ plakken,D,355.0,29.0,20.0,8.5,0.0,0.0,0.0,23.0,1.9,,,,,,,,,
AH Zaanlander Jong belegen 48+ plakken,D,375.0,31.0,19.0,11.0,0.0,0.0,0.0,24.0,1.9,,,,,,,,,
AH Leverworst gesneden,D,290.0,23.0,9.0,,4.0,1.5,0.0,16.0,1.7,,,,,,,,,
De Zaanse Hoeve Halfvolle Melk,A,48.0,1.6,1.0,0.3,4.6,4.6,0.0,3.7,0.13,0.122,,,,,,,,
AH Houdbare halfvolle melk,B,48.0,1.5,1.1,0.4,5.0,5.0,0.0,3.5,0.13,0.12,,,,,,,,
AH Halfvolle melk,B,48.0,1.6,1.1,0.5,4.7,4.7,0.0,3.6,0.13,,,,,,,,,
De Zaanse Hoeve Yoghurt Griekse stijl,B,122.0,10.0,7.5,2.5,3.5,3.5,0.0,4.5,0.2,0.115,,,,,,,,
AH Volle melk,B,66.0,3.6,2.5,1.1,4.9,4.9,0.0,3.4,0.13,0.12,,,,,,,,
De Zaanse Hoeve Roomboter ongezouten,E,744.0,82.0,57.0,25.0,1.0,1.0,0.0,0.6,0.03,,,,,,,,,
AH Witte scharreleieren M,A,131.0,9.1,3.0,4.3,0.2,0.2,0.0,12.0,0.38,,,,,,,,,
De Zaanse Hoeve Magere kwark,A,50.0,0.0,0.0,0.0,4.0,4.0,0.0,8.5,0.1,0.12,,,,,,,,
De Zaanse Hoeve Creme fraiche,D,292.0,30.0,21.0,9.3,3.0,3.0,0.0,2.4,0.08,,,,,,,,,
De Zaanse Hoeve Karnemelk,A,29.0,0.5,0.3,0.2,2.9,2.9,0.0,3.1,0.1,0.10632,0.00015,,,,,,,
De Zaanse Hoeve Magere yoghurt,A,28.0,0.1,0.1,0.0,3.3,3.3,0.0,3.4,0.1,0.124,,,,,,,,
AH Verse scharreleieren M,A,131.0,9.1,3.0,4.5,0.2,0.2,0.0,12.0,0.38,,,,,,,,,
De Zaanse Hoeve Vanille vla,B,86.0,2.8,1.9,0.9,13.0,8.6,0.0,2.2,0.18,,,,,,,,,
De Zaanse Hoeve Yoghurt griekse stijl 2% vet,A,61.0,2.0,1.5,0.4,4.7,4.7,0.0,6.0,0.1,0.122,,,,,,,,
AH Biologisch Witte eieren S M L,A,135.0,9.5,3.0,5.0,0.2,0.2,0.0,12.0,0.35,,,,,,,,,
De Zaanse Hoeve Volle yoghurt,B,52.0,3.0,2.1,0.9,2.9,2.9,0.0,3.3,0.1,0.12,,,,,,,,
De Zaanse Hoeve Magere kwark,A,50.0,0.0,0.0,0.0,4.0,4.0,0.0,8.5,0.1,,,,,,,,,
AH Verse scharreleieren M,A,131.0,9.1,3.0,4.3,0.2,0.2,0.0,12.0,0.38,,,,,,,,,
AH Griekse stijl portie,C,120.0,10.0,7.5,2.5,3.5,3.5,0.0,4.5,0.2,0.116,,,,,,,,
AH Magere franse kwark,A,52.0,0.0,0.0,0.0,4.0,4.0,0.0,8.9,0.1,0.129,,,,,,,,
AH Volle yoghurt,B,62.0,3.1,2.1,1.0,4.5,4.5,0.0,4.0,0.13,0.144,0.00022,,,,,,,
AH Biologisch Houdbare halfvolle melk,B,48.0,1.5,1.1,0.4,5.0,5.0,0.0,3.5,0.13,0.12,,,,,,,,
De Zaanse Hoeve Halfvolle vanille yoghurt,B,79.0,1.6,1.1,0.4,13.0,12.0,0.0,3.1,0.1,,,,,,,,,
AH Biologisch Halfvolle yoghurt,B,53.0,1.6,1.1,0.5,5.2,5.2,0.0,4.5,0.15,0.163,0.00026,,,,,,,
AH Biologisch Magere yoghurt,A,40.0,0.4,0.3,0.1,4.8,4.8,0.0,4.2,0.15,0.152,0.00023,,,,,,,
AH Scharrel kipfilet,C,125.0,4.5,1.7,2.8,2.0,1.5,0.3,19.0,1.88,,,,,,,,,
De Zaanse Hoeve Jong 48+ plakken,D,355.0,29.0,20.0,8.5,0.0,0.0,0.0,23.0,1.9,,,,,,,,,
De Zaanse Hoeve Roomboter ongezouten,E,744.0,82.0,57.0,25.0,1.0,1.0,0.0,0.6,0.03,,,,,,,,,
AH Zuivelspread naturel,D,188.0,16.0,10.0,4.0,3.3,3.3,0.0,7.8,0.8,,,,,,,,,
AH Luchtige cracker volkoren met rijstbloem,A,352.0,3.6,0.4,2.0,63.0,3.9,14.0,10.0,1.18,,,,,,,,,
AH Achterham,C,102.0,2.1,0.8,1.3,4.8,0.6,0.08,16.0,2.25,,,,,,,,,
AH Boterhamworst,E,270.0,22.0,8.4,14.0,7.0,0.2,0.05,11.0,2.33,,,,,,,,,
